IHA Annual Summary Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
1935,318,270,305,298,356,804.5,1107,593,708,473,475.5,722,243,244.7,247.3,259.9,292.3,1223,1206,1195,1106,840.3,0,0.4481,70,188,0,,1,228,17.5,-6,38,318,270,305,298,307,,,,,,,,,,,0,,,,0,,,,,,0,,,1223,228,188,1,16.22,
1959,177,177,177,259.5,389,408.5,637,470,523,411,343.5,209,174,176,177,177,177,791,737.3,708.1,596.3,530.8,0,0.5063,366,195,0,,7,14,17,-8,53,177,177,177,256,385,388.5,339,418,407,381.5,337,209,,,,0,574,14,195,7,23.13,-14.53,,,,0,,,,,,0,,
1960,155,132,120,134,208,343.5,387,421,348,404,313.5,201,116,116,117.1,120,127.5,803,748.3,684.9,509.2,450,0,0.4279,83,210,3,38,3,17,8,-4,68,155,132,122,134,208,305,379,406.5,348,368.5,313.5,201,116,6,83,1,582,12,228.5,2,75.25,-13.29,803,20,210,1,214.5,-20.11,,,,0,,
1961,190,162,136,153,167,525,649,542,529,485,330.5,202,131,132,133.9,136.2,147.6,943,926.3,905.1,768.9,601.5,0,0.3829,72,206,3,23,3,42,8,-4,65,190,162,136,153,165.5,,417.5,425,,420,330.5,202,,,,0,621,54.5,217.5,2,9.431,-9.417,943,37,206,1,40.23,-20.72,,,,0,,
1962,154,99.15,105,110.5,127,148,256,431,391,228,182.5,194,93.9,93.9,94.36,97.79,105.9,508,508,508,480,347.9,0,0.4686,58,243,5,45,1,29,7,-5,32,154,,,143,127,195,256,296,333,228,182.5,194,102.5,51.5,102,2,508,29,243,1,6,-5.667,,,,0,,,,,,0,,
1963,127,114,105,127.5,205,352.5,452,375,508,382,395,269,103,103,103.9,107.8,115.6,747,729.7,686.9,585.1,479.5,0,0.3505,73,239,0,,4,12.5,9,-6,50,127,,125.5,170,205,352.5,391,362.5,,381,373.5,269,108.5,30.5,85,2,502.5,12.5,220,4,47.17,-10.28,,,,0,,,,,,0,,
1964,185,173,155,138,142,377.5,294,270,465.5,291,272,321,134,134,135.4,137.6,149.7,502,502,502,468.9,365.9,0,0.5128,99,249,2,36,3,6,8,-5,54,185,173,155,138,142,363,294,255,384,291,272,321,,,,0,483,6,240,3,29.5,-10,,,,0,,,,,,0,,
1965,221,182.5,174,171.5,190,473,562,788,353.5,301,325,528,129,129.7,130.1,146.8,169,1029,995.7,962,796.6,659.2,0,0.3507,97,224,1,20,3,32,12,-6,48,221,182.5,174,171.5,190,353,410,,339,301,325,368,,,,0,601,25,339,1,37.71,-9.579,952.5,39.5,203.5,2,29.44,-25.16,,,,0,,
1966,228,155.5,136,185,198,456,699,354,353,280,293,414,128,129.7,131,137.2,157.8,818,814.3,789.7,673.5,510.5,0,0.4107,75,192,1,56,4,12,9,-5,60,228,155.5,136,185,190.5,378,,330,344,280,293,353.5,,,,0,477,11,243,3,44.5,-5.6,818,58,192,1,13.79,-13.83,,,,0,,
1967,266,186.5,151,127.5,364,304,445,454,504.5,426,385,268,114,114.3,116.9,122.9,144.7,606,587,559,508.4,473.4,0,0.369,124,206,2,31.5,5,18,10,-5,38,266,186.5,151,127.5,159,304,274,402,408,401,376,268,114,4,124,1,502,18,258,5,31.2,-8.375,,,,0,,,,,,0,,
1968,173,149,128,130.5,155,190.5,297,338,347,323,248,185,121,122,123.1,127.9,136.6,436,433.7,419.9,370.6,339,0,0.5504,76,274,5,21,2,2.5,6,-3,55,173,149,128,130.5,155,190.5,297,334,343,322.5,248,185,,,,0,434,2.5,252.5,2,12,-8,,,,0,,,,,,0,,
1969,188,132.5,117,108.5,318,494.8,491,776,446,413,339.5,351.2,101,101,101.9,108.3,121.9,822,816,804.3,788.2,599.2,0,0.2921,99,217,1,93,6,14,6,-5,77,188,132.5,121,126,318,339.5,370,,409,378,339.5,351.2,107.5,20,86.5,2,588,5,201,5,40,-27,822,52,217,1,39.15,-10.15,,,,0,,
1970,386.6,420.2,455,489.8,524.6,559.3,471,550,429,360.1,291.1,247,232,233.3,235.6,246,302.3,750,701,639.9,573.4,539.2,0,0.5408,342,231,0,,2,104,1.14,-2.26,25,386.6,414.5,,,,,403,,409.8,360.1,291.1,247,,,,0,669.5,104,208,2,5.43,-16.64,,,,0,,,,,,0,,
1971,253,256,171,159.5,188,398.5,627,718.4,631.4,544.5,457.6,370.6,130,132,137.4,153.9,175.6,858,829,822.4,766.2,680.3,0,0.324,102,208,3,14,2,88,13.5,-2.851,50,253,256,171,159.5,150,366.5,,,,,420.5,370.6,,,,0,704,23,143,1,98.25,-14.95,858,153,208,1,16.4,-3.494,,,,0,,
1972,253,189,151,150,425,698,659.8,794.2,546,460,416,263,130,131,138.7,147.5,158.6,896,892.5,879.6,793,718.2,0,0.3358,117,229,3,22,5,11,8.486,-5,48,253,189,151,150,189.5,,,,,417,392,263,,,,0,458,8,290,4,29.5,-7.393,896,141,229,1,5.414,-8.709,,,,0,,
1973,176,139.5,94.5,94.5,102,545,468.5,416,352.5,395,295,191,88,88,88,91.03,98.55,650,634.7,596.9,528.3,467.7,0,0.3153,83,179,1,106,4,13.5,16,-5.969,16,176,150,,,280,375,399.9,393,352.5,343,295,191,88,85,83,1,580.5,13.5,206,4,27.64,-19.73,,,,0,,,,,,0,,
1974,217,128,128,118,176,343,514,458,333,278,232,247,109,109,109,113.3,123.6,656,640,597.1,531.2,441.9,0,0.4087,111,180,1,91,3,18,12,-5,35,217,128,128,128,277,305,332,353,333,278,232,247,118,3,66,3,581,18,180,3,26.67,-14.64,,,,0,,,,,,0,,
1975,189,163,139,163,235,353,606,406.5,314,321.9,304.5,287.1,118,118,118,125.9,150.9,659,658.3,645.3,611.6,475.5,0,0.3985,86,188,2,26,1,50,11,-1,16,189,163,139,164,235,353,,389.5,314,321.9,304.5,287.1,118,11,86,1,659,50,188,1,17.6,-6.541,,,,0,,,,,,0,,
1976,247,176,139,118,109,446.5,514,355,261.5,373,279,202,102,102,103,107.6,122.3,920,904,864.7,665.9,475.9,0,0.3764,134,177,1,98,1,51,11,-2,10,247,176,139,128,156.5,219,,352.5,261.5,373,279,202,102,45,134,1,,,,0,,,920,51,177,1,49.7,-11.98,,,,0,,
1977,163,156.5,128,114,417,584,633,661,461,437,414.5,394,109,109,109,113,135.4,869,869,860.6,773.3,653.5,0,0.2811,91,212,2,41.5,4,18,12.5,-3,16,163,156.5,128,150,409.5,,,,415,415,394,373,109,29,91,1,485,16,279,3,30,-4.944,869,124,212,1,6.761,-7.793,,,,0,,
1978,262,188.5,139,113,203,331.5,719,713,415.5,582,485,316,109,109,109,112.7,131.8,1197,1160,1118,949.1,648.3,0,0.2865,114,206,1,77,3,43,15.5,-5,14,262,188.5,139,127,277,331,393,414.5,373.5,,416,316,109,36,114,1,557,37.5,233,2,22.94,-12.6,1197,43,206,1,61.69,-25.06,,,,0,,
1979,246,162.5,114,94.5,109,203,202,659,763,384,397,464,88,88,88,89.95,106.7,894,886.3,876.7,815.7,637.8,0,0.2669,114,244,1,92,4,11.5,12,-3,20,246,163,,,241,203,188.5,,,322.5,395,393,88,78,114,1,455,3,324,3,33,-12.67,894,81,244,1,15.36,-11.09,,,,0,,
1980,217,190,190,284,790,660.5,608,766,384,246,217,176,150,150.3,155.6,175.1,197.5,917,896,895.3,798.2,706.3,0,0.3984,360,221,1,4,1,126,12,-5,15,217,190,190,284,355,,,,343.5,246,217,176,,,,0,,,,0,,,917,126,221,1,5.29,-14.71,,,,0,,
1981,190,203,149,139,659,608,514,339,295,249,189,150,128,128,128,141.1,167.8,746,737,737,688.3,587.1,0,0.4117,72,128,4,22.5,1,84,14,-3,20,190,203,149,139,338.5,,415,339,295,249,189,150,,,,0,746,84,128,1,124,-4.012,,,,0,,,,,,0,,
1982,118,127.5,109,102,203,462.5,780,507,581.5,487,344,247,102,102,102,103.2,112.6,1082,1057,1019,795,613.6,0,0.2995,106,200,1,88,3,53,14,-5,24,128,133.5,,,262,334.5,,415,,,333,247,105.5,52.5,62.5,2,633.5,43,212,2,28.74,-16.87,1082,53,200,1,27.67,-22.17,,,,0,,
1983,161,139,102,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,94.5,94.5,95.06,95.7,95.83,194,191.7,187.1,164.4,136,0,0.8986,88,1,2,171,0,,1,-2,9,161,139,,,,,,,,,,,94.5,306,88,1,,,,0,,,,,,0,,,,,,0,,
2015,102,77.9,64.7,66.45,90.09,568,344.2,315.5,287.3,259.1,230.8,202.6,58.2,58.7,59,63.44,67.36,810,789.3,740.1,574.8,414.7,0,0.2634,88,161,0,,1,25,2.25,-0.9254,38,,,,,268.5,387,344.2,315.5,287.3,259.1,230.8,202.6,,,,0,,,,0,,,810,25,161,1,45,-23.12,,,,0,,
2016,173.9,146.1,118.4,103.3,113,105.5,140,366,296.5,237,194.5,157,92.1,92.6,93.16,99.53,109.6,491,482,469,377.8,297.1,0,0.5156,104,232,4,13.5,1,9,5,-1.5,68,173.9,146.1,125.3,133,121,,157,261,296.5,237,194.5,157,97.1,29,146.5,4,491,9,232,1,38.5,-12.17,,,,0,,,,,,0,,
2017,141,119.5,120,120,182,295,339,412,370,392,367.5,236,108,108.3,109.7,117.3,120.7,623,563,512.3,456.5,401.8,0,0.423,45,245,1,112,4,4,8.2,-4,74,141,122,127.5,127,182,236,339,309,335,382.2,367.5,236,111.5,10,79.5,4,466,4,211,4,11.8,-17.39,,,,0,,,,,,0,,
2018,195,119.5,113,200.5,191,268,496,326,290,423,416,236,107,107.3,108.1,113,139.1,570,565.7,543.9,508.8,393.3,0,0.3818,68,197,3,16,6,8,9.5,-5,76,195,127,145,200.5,191,266,391.5,323,285,399,372,236,112,13.5,59,2,473,8,283,6,20.38,-12.64,,,,0,,,,,,0,,
2019,158,111,102,96.59,120,247.5,377,473,342.4,274.4,243.9,170.1,91.3,91.33,91.74,94.54,104,683,652.3,628.3,530,428.4,0,0.3912,92,213,3,137,4,8,1.058,-2.316,56,158,127,,,124,247,343.5,386,331.6,274.4,243.9,170.1,101.2,48,120.5,2,548.5,8,208,4,94.33,-17.74,,,,0,,,,,,0,,
2020,125.2,100,85.21,79.55,111.6,137.2,137.2,137.2,137.2,137.2,137.2,137.2,74.46,74.93,75.63,79.1,86.82,137.2,137.2,137.2,137.2,137.2,0,0.618,102,141,0,0,0,0,0.9517,-0.5641,12,126.6,,,,137.2,137.2,137.2,137.2,137.2,137.2,137.2,137.2,74.46,113,102,1,,,,0,,,,,,0,,,,,,0,,
