IHA Annual Summary Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
1953,1.22,0.696,0.885,1.05,7.78,10.95,22.7,25.8,23.4,7.65,3.58,1.83,0.5,0.502,0.5306,0.6676,0.9904,59.6,56.17,44.03,28.22,25.02,0,0.05572,46,199,8,8.5,4,16,0.6275,-0.23,98,1.59,0.8975,1.125,1.05,1.215,8.66,,,,6.6,3.58,1.83,0.677,9,56,5,13.1,5,169,3,2.962,-1.815,59.6,105,199,1,2.198,-0.6087,,,,0,,
1954,1.08,0.703,0.84,2.75,5.15,14.65,26.2,19.27,13.05,5.79,2.98,2.4,0.55,0.5527,0.5841,0.7814,0.9128,63.5,58.2,50.31,32.24,23.9,0,0.0639,62,197,3,36,4,14,0.595,-0.28,82,1.25,1.155,0.84,2.75,3.745,9.35,,,9.52,5.79,2.98,2.4,0.6,6,49,4,11.9,2,135,3,5.85,-0.915,63.5,101,197,1,2.166,-0.701,,,,0,,
1955,1.32,0.8785,0.5,1.415,4.85,15.1,12.5,11.5,11.55,5.29,2.505,1.96,0.4,0.4,0.4,0.4778,0.939,21.5,20.4,19.31,16.44,13.77,0,0.06597,68,241,8,5,5,8,0.5,-0.225,71,1.32,1.145,,1.97,4.81,7.69,9.19,7.39,7.8,5.29,2.505,1.91,0.4,50,68,1,17.6,23.5,187,4,1.424,-0.6639,,,,0,,,,,,0,,
1956,5.6,1.77,3.38,3.69,12.9,13.95,15.1,14.1,9.22,5.42,2.93,1.16,0.53,0.5417,0.5611,1.013,3.062,27.7,26.97,25.43,18.35,15.21,0,0.07113,358,210,4,4.5,8,7,0.595,-0.34,73,5.08,1.77,3.38,3.38,6.29,8.29,,8.69,8.52,5.42,2.93,1.33,,,,0,13.2,4,148,9,1.39,-1.59,,,,0,,,,,,0,,
1957,0.735,0.1,0.071,0.151,5.42,8.325,14,20.3,12.25,5.92,3.57,4.29,0.05,0.05033,0.05471,0.0666,0.1787,49.3,48.33,45.47,27.43,18,0,0.007661,96,236,4,52,6,12,0.81,-0.315,74,1.24,,,1.17,5.685,6.68,7.73,8.21,8.99,5.72,3.57,4.34,0.364,14.5,57.5,4,20.2,11,189,5,4.517,-1.242,49.3,39,236,1,2.027,-1.986,,,,0,,
1958,0.825,0.1015,0.035,1.38,14.4,24.05,26.6,14.8,7.525,4.57,3.665,1.29,0.01,0.01267,0.01986,0.03847,0.306,52.1,51.97,47.83,29.94,24.01,0,0.002219,84,204,2,23,5,6,0.815,-0.192,78,0.915,0.907,,2.57,2.505,,,9.29,7.15,4.57,3.38,1.57,0.546,2,17,7,17.05,4,258,4,7.283,-2.897,52.1,110,204,1,0.6031,-1.07,,,,0,,
1959,0.3,0.15,0.042,6.435,8.42,13.3,22.9,22.3,16.1,7.49,3.91,2.01,0.026,0.02633,0.033,0.0418,0.5402,34.5,30.93,27.77,25.55,19.12,0,0.003907,79,195,3,28,8,5,0.555,-0.25,90,3.46,0.854,1.307,5.45,7.45,9.25,,9.18,8.72,6.81,3.91,2.01,0.042,31,79,3,11.8,5,173.5,8,1.106,-0.7501,,,,0,,,,,,0,,
1960,0.664,0.351,0.871,1.935,4.62,8.515,15.5,11.2,9.1,8.71,3.5,1.78,0.208,0.2443,0.2961,0.3495,0.8261,34.4,33.36,31.66,21.05,15.96,0,0.04528,71,214,4,11,9,3,0.2575,-0.2105,97,1.023,,2.11,2.01,4.505,5.41,9.4,8.228,8.49,7.26,3.5,1.78,0.658,2,92.5,6,13.5,3,265,9,3.44,-1.46,,,,0,,,,,,0,,
1961,1.96,0.8865,0.56,0.937,2.25,18.45,29.3,12.8,22.8,7.76,3.035,1.6,0.2,0.2,0.267,0.6129,0.8467,34.4,34.4,34.4,25.91,20.07,0,0.03124,69,197,6,19,3,50,0.4,-0.1705,58,1.96,0.955,1.155,1.02,1.88,8.75,,9.49,,4.645,3.035,1.6,0.56,5,79,5,31.2,50,197,3,0.8705,-0.6228,,,,0,,,,,,0,,
1962,1.19,0.7651,1.242,0.8664,2.37,4.725,4.97,11,9.349,5.018,2.345,1.51,0.65,0.6527,0.6786,0.7699,0.9884,34.1,32.03,25.91,17.02,10.7,0,0.1479,100,244,3,61,9,2,0.1,-0.144,54,1.19,0.8075,1.271,1.695,2.26,3.72,4.93,5.72,8.546,5.018,2.34,1.51,0.7,14,70,3,15.6,2,229,9,5.2,-2.155,,,,0,,,,,,0,,
1963,1.162,1.037,1.419,1.955,4.07,11.9,15.5,14.6,15.15,5.87,5.375,2.6,0.7,0.7257,0.853,1.011,1.223,34.4,34.4,34.34,24.88,18.57,0,0.1115,53,237,3,4,7,10,0.8,-0.23,100,1.162,1.044,1.419,1.955,4.07,7.55,9.335,8.855,8.9,5.655,5.375,2.6,0.7,3,53,1,18.4,10,210,7,4.327,-1.283,,,,0,,,,,,0,,
1964,1.56,1.4,1.4,1.34,2.87,13.05,9,7.45,14.85,4,2.465,2.23,1.06,1.103,1.131,1.244,1.536,34.4,34.3,30.37,21.51,13.15,0,0.1882,54,250,6,8.5,10,1,0.37,-0.22,119,1.56,1.4,1.4,1.34,2.68,8.78,8.31,6.57,6.85,4,2.465,2.23,,,,0,13.1,1,195,10,2.025,-2.063,,,,0,,,,,,0,,
1965,1.35,1.58,1.2,2.695,3.69,13.85,16.1,25.9,6.23,4.67,3.32,5.65,1.01,1.053,1.091,1.229,1.481,49.3,47.83,43.57,30.72,19.75,0,0.1397,27,228,3,15,5,7,0.62,-0.26,113,1.35,1.58,1.2,2.695,3.615,4.2,9.24,8.74,6.095,4.67,3.23,5.38,,,,0,19.7,4.5,208,4,3.479,-1.306,49.3,42,228,1,1.39,-2.844,,,,0,,
1966,2.33,1.353,1.23,2.54,4.53,19.55,22.9,9.64,7.405,4.48,2.765,4.06,0.92,0.9513,0.976,1.225,1.516,30.5,28.57,26.7,23.83,17.8,0,0.1352,92,193,5,10,5,5,0.6,-0.2,104,2.33,1.353,1.23,2.54,3.865,6.495,,8.66,6.45,4.48,2.765,4.06,,,,0,23,5,224,5,2.33,-1.712,,,,0,,,,,,0,,
1967,2.22,1.555,1.34,1.16,14.5,10.05,19.6,14.3,17.3,7.06,3.615,2.17,0.83,0.8427,0.9434,1.141,1.531,36.9,35.9,33.81,22.81,18.34,0,0.1149,111,198,7,4,6,18.5,0.64,-0.3,98,2.22,1.55,1.34,1.16,1.84,7.33,7.17,8.31,7.91,6.77,3.615,2.17,,,,0,25.5,18.5,185.5,6,5.177,-1.32,,,,0,,,,,,0,,
1968,1.2,1.33,1.09,0.734,1.35,3.79,6.89,8.72,7.75,5.44,3.4,3.03,0.593,0.6013,0.6084,0.832,1.07,21.8,19.27,17.1,10.86,8.434,0,0.1473,96,230,6,9.5,8,2,0.26,-0.19,115,1.2,1.33,1.09,1.98,1.43,3.79,6.25,7.12,7.01,5.41,3.4,2.985,0.6735,9,119.5,2,12.1,2,240.5,8,3.045,-3.34,,,,0,,,,,,0,,
1969,1.83,1.435,0.793,1.72,7.56,13.2,34,30,7.245,7.8,3.59,2.24,0.518,0.5967,0.6836,0.7895,1.324,59.8,57.5,48.56,39.84,26,0,0.07193,69,227,4,1,11,2,0.51,-0.295,120,1.83,1.435,0.804,1.72,6.51,7.41,,9.5,7.085,6.925,3.59,2.24,0.723,1,67.5,6,12.85,2,196,10,4.33,-2.8,59.8,82,227,1,0.7484,-3.868,,,,0,,
1970,1.55,0.847,0.809,1.73,3.79,12,17.4,21.5,7.45,4.27,2.765,2.26,0.507,0.5357,0.5861,0.753,1.117,34.1,32.83,30.07,23.58,17.62,0,0.08684,83,211,3,6,3,6,0.37,-0.23,112,1.55,1.04,0.954,1.73,2.92,7.02,,,6.94,4.27,2.765,2.26,0.575,8,73,3,12.6,6,211,3,1.935,-0.876,,,,0,,,,,,0,,
1971,1.96,1.99,1.25,1.565,9.9,7.515,21.24,15.5,9.858,5.78,3.425,2.51,1.11,1.18,1.203,1.253,1.569,72,68.43,48.74,21.55,18.02,0,0.1577,79,143,2,14,3,17,0.08,-0.1851,58,1.96,1.99,1.25,1.565,2.06,6.7,,,8.378,5.78,3.425,2.51,,,,0,18.2,41.5,177,2,4.925,-0.99,,,,0,,,72,17,143,1,9.591,-5.706
1972,1.73,1.47,1.19,1.22,6.14,16.3,14.2,19.3,10.06,10.7,6.41,3.11,0.779,0.8013,0.8129,0.9548,1.377,37.6,34.1,30,21.36,18.41,0,0.09522,70,152,5,4,9,12,0.9,-0.375,104,1.73,1.47,1.19,1.22,4.725,,9.585,,8.83,8.52,6.35,3.11,,,,0,24,12,227,9,5.15,-1.439,,,,0,,,,,,0,,
1973,2,1.125,1.01,1.015,2.13,13.7,15.8,11.4,8.15,10.3,3.525,2.03,0.718,0.731,0.7719,1.016,1.175,58.1,52.87,43.23,27.99,16.64,0,0.11,71,174,6,13,9,6,0.74,-0.175,77,2,1.125,1.04,1.07,1.85,7.76,8.485,7.83,6.98,7.41,3.525,2.03,0.7215,3.5,90,2,13.8,4.5,221,8,2.409,-1.405,58.1,36,174,1,9.752,-1.525,,,,0,,
1974,1.81,0.9005,1.27,0.84,3.88,14.05,9.79,9.83,5.29,3.54,2.245,1.63,0.475,0.4917,0.5429,0.785,1.013,30.9,28.9,26.16,17.46,12.9,0,0.1021,57,179,7,11,10,2.5,0.58,-0.13,69,1.81,1.13,1.27,1.06,3.88,3.37,7.11,7.85,5.21,3.54,2.245,1.605,0.565,9,114,3,12.4,2.5,205.5,10,2.591,-1.722,,,,0,,,,,,0,,
1975,1.25,1.21,1.04,3.04,9.185,13.1,19.9,9.33,9.63,5.06,4.065,2.42,0.655,0.6827,0.7059,0.9435,1.277,36.9,33.37,29.47,21.42,15.62,0,0.1017,94,196,4,18,7,3,0.3947,-0.245,78,1.25,1.33,1.12,3.09,6.422,,,2.09,6.74,5.045,4.03,2.42,0.664,6,86,3,12.6,3,234,7,4.77,-1.717,,,,0,,,,,,0,,
1976,1.41,1.09,0.98,0.6475,0.46,1.322,2.468,3.632,4.778,6.1,3.475,1.9,0.21,0.2243,0.2833,0.4502,0.6491,14,11.88,10.09,6.93,5.277,0,0.1115,90,290,5,9,1,3,0.03756,-0.09,53,1.41,1.1,1.51,0.94,,1.322,2.468,3.632,4.778,5.755,3.475,1.9,0.244,20,90,3,14,3,290,1,4.51,-1.65,,,,0,,,,,,0,,
1977,1.09,0.771,0.807,1.075,9.5,20.15,31.4,15.2,8.85,10.1,6.865,3.82,0.456,0.4843,0.5973,0.7497,0.871,47.5,46.63,44.17,34.68,24.9,0,0.06001,39,210,3,9,11,5,0.665,-0.34,114,1.1,0.809,0.846,1.075,3.31,,,,8.37,8.01,6.38,3.82,0.7305,1.5,57,8,11.9,3.5,282,10,2.24,-1.898,47.5,93,210,1,0.6441,-1.086,,,,0,,
1978,2.22,1.175,0.979,0.775,3.28,9.245,40.2,13.6,17.1,11,8.865,2.95,0.7,0.7,0.725,0.7688,0.9813,65.9,58.7,54.86,38.58,23.17,0,0.07623,118,207,1,86,9,6,0.99,-0.345,68,2.22,1.175,0.979,0.8,3.21,4.99,7.58,8.4,7.34,8.27,7.165,2.95,0.725,7,111.5,2,16.4,4.5,255,8,2.708,-1.892,,,,0,,,65.9,51,207,1,2.43,-2.02
1979,1.55,0.85,0.704,0.6875,3.96,4.565,3.44,18.2,14.05,5.25,5.535,6.01,0.6,0.6027,0.6226,0.6725,0.7866,49.5,46.03,45.49,26.7,17.15,0,0.09092,96,243,3,5,8,3.5,0.43,-0.35,92,1.55,0.852,0.929,1.05,3.46,4.21,2.68,8.71,7.94,5.21,5.44,5.35,0.627,10,78.5,4,17.7,3,259,7,5.88,-1.997,49.5,25,243,1,3.708,-2.719,,,,0,,
1980,2.42,1.79,1.45,6.075,24.4,23.95,17.6,18.3,6.11,3.08,2.21,1.54,1.17,1.22,1.264,1.523,2.052,60.3,55.33,46.06,31.43,24.28,0,0.1301,78,135,5,4,7,1,0.795,-0.41,96,2.42,1.79,1.45,5.12,6.35,,,,5.97,3.08,2.21,1.535,,,,0,10.6,1,121.5,6,6.17,-2.955,60.3,115,135,1,8.938,-0.4939,,,,0,,
1981,2.07,1.845,1.31,1.42,21.5,13.5,10.8,8.95,8.725,3.39,1.96,1.21,0.654,0.6953,0.7756,1.144,1.784,30.8,27.47,26.07,22.43,16.08,0,0.1089,16,136,6,13.5,8,8,1.045,-0.2,80,2.19,1.845,1.47,1.42,7.08,8.71,8.525,7.34,7.04,3.39,1.96,1.21,0.6895,4.5,44,2,18.05,8,188,8,2.793,-1.7,,,,0,,,,,,0,,
1982,0.9,0.923,0.862,0.884,4.29,13.95,19.4,11.7,11.5,7.46,4.005,2.05,0.554,0.5917,0.6501,0.8025,0.9736,49.4,49,45.14,26.78,18.19,0,0.08745,67,198,3,12,9,3,0.701,-0.2735,110,0.932,0.95,0.9045,0.911,3.9,7.31,,9.045,8.79,7.41,4.005,2.05,0.717,5,63,6,12.6,3,255,8,2.178,-1.095,49.4,54,198,1,1.831,-1.245,,,,0,,
1983,1.49,0.9095,0.764,0.9645,2.74,10.04,14.6,8.34,7.525,6.35,2.915,1.46,0.553,0.5843,0.6327,0.7605,1.07,41.4,39.43,31.99,20.67,13.85,0,0.1105,83,196,6,9,9,2,0.45,-0.19,94,1.49,0.9545,0.917,0.984,2.725,3.415,8.915,8.11,6.955,6.2,2.915,1.46,0.7095,3,76,6,13.2,2,231.5,8,4.405,-2.073,41.4,42,196,1,1.068,-2.45,,,,0,,
1984,0.962,0.882,0.45,0.4545,7.29,12.85,20.5,8.05,8.23,9.55,8.035,3.15,0.36,0.3863,0.4019,0.4985,0.6769,53.8,51.33,39.84,24.26,17.45,0,0.05265,118,199,3,31,8,11.5,0.5,-0.35,108,0.962,0.914,0.8755,0.959,2.78,7.97,,7.6,5.92,7.02,6.54,3.15,0.401,10,71,5,14.95,5,260.5,6,2.451,-1.399,51.7,28.5,180.5,2,11.89,-2.431,,,,0,,
1985,1.86,1.165,0.975,2.845,6.84,13.6,13.5,7.6,9.84,5.5,4.32,2.3,0.68,0.701,0.7667,1.082,1.433,48.9,43.6,36.09,21.27,16.4,0,0.1067,72,184,4,10,11,1,0.62,-0.29,99,1.86,1.165,1.01,2.81,1.895,8.84,7.92,7.53,7.34,5.5,4.31,2.3,0.68,3,72,1,12.2,1,241,9,5,-3.06,45.3,31,166.5,2,2.75,-2.238,,,,0,,
1986,1.24,1.155,1.3,3.22,15,20.9,12.4,16.8,9.565,5.59,3.44,3.75,0.691,0.8003,0.9296,1.129,1.411,38,34.73,32.06,25.85,19.52,0,0.1059,41,168,6,7,7,5,1.1,-0.4,100,1.24,1.16,1.3,2.775,5.19,,8.63,9.53,7.5,5.59,3.35,3.75,0.691,1,41,1,26.5,5,222,7,2.81,-1.454,,,,0,,,,,,0,,
1987,1.48,0.951,0.78,1.525,2.57,7.61,16.9,13.1,8.545,6.18,2.465,1.99,0.692,0.7023,0.7196,0.7935,1.13,32.1,31.53,30.6,19.78,14.33,0,0.1201,71,197,9,5,7,2,0.3,-0.22,116,1.48,0.951,0.8235,1.525,2.57,6.435,4.72,8.725,7.68,6.1,2.465,1.99,0.6925,6.5,75.5,2,14.4,2,186,7,5.925,-2.41,,,,0,,,,,,0,,
1988,1.07,0.584,0.685,0.693,1.18,2.325,6.03,10.6,6.935,3.81,2.75,1.56,0.536,0.536,0.5466,0.5841,0.7184,27.6,22.9,18.8,12.91,10.07,0,0.1393,48,174,6,34,9,1,0.35,-0.12,99,1.07,0.779,0.8435,1.011,1.56,2,4.925,7.265,6.29,3.74,2.75,1.56,0.584,13,78,5,11.7,1,232,9,2.32,-1.206,,,,0,,,,,,0,,
1989,0.94,0.59,0.596,0.613,0.691,3.66,7.22,14.9,6.315,2.93,1.875,2.33,0.456,0.4633,0.5016,0.5623,0.6277,30.9,28.37,25.93,17.84,12.18,0,0.1131,52,214,2,2.5,4,5.5,0.1405,-0.14,136,0.9425,0.924,0.808,0.863,1.034,3.17,6.215,,5.45,2.93,1.875,2.33,0.562,5,94,11,24.65,5.5,188,4,5.843,-3.039,,,,0,,,,,,0,,
1990,1.51,0.8315,0.685,3.415,7.32,11.15,8.36,13,13.3,6.63,3.535,1.85,0.611,0.6173,0.6274,0.7931,1.309,31.5,29.47,26.2,16.49,13.33,0,0.09333,85,254,3,27,15,3,0.68,-0.24,116,1.51,0.894,0.917,3.22,6.64,8.7,7.81,8.32,8.47,6.27,3.535,1.85,0.6125,13.5,65.5,2,13.4,3,198,15,3.48,-1.62,,,,0,,,,,,0,,
1991,1.17,0.766,0.947,1.48,4.49,8.45,14.4,14.9,8.715,5.35,2.27,3.17,0.653,0.6617,0.674,0.821,1.014,50.3,42.63,31.21,16.46,14.37,0,0.1077,49,148,9,4,8,2,0.46,-0.22,120,1.17,0.9535,0.947,1.48,1.82,7.57,7.185,,7.56,5.35,2.27,3.115,0.653,14,49,1,11.7,2,201,7,3.337,-1.84,50.3,12,148,1,13.63,-4.166,,,,0,,
1992,1.35,1.37,1.14,2.69,13.7,27.35,13.8,8.33,10.95,9.72,6.31,3.66,0.898,0.942,0.965,1.358,1.429,44.1,38.77,32.56,27.58,18.52,0,0.1096,77,157,7,6,16,3,0.6215,-0.4,126,1.35,1.37,1.14,2.57,8.56,,8.88,7.26,7.87,8.685,5.51,3.66,,,,0,12.6,3,236,15,4.39,-1.72,44.1,56,157,1,4.443,-0.71,,,,0,,
1993,1.57,0.888,0.886,2.48,10.61,18.3,29.5,10.3,6.38,3.65,2.575,4.25,0.718,0.73,0.7477,0.8123,1.131,65.5,61.43,49.23,37.29,23.37,0,0.08484,66,190,5,8,6,6.5,0.4872,-0.23,90,1.57,0.888,0.97,2.48,6.22,9.375,,7.62,6.16,3.65,2.575,3.765,0.739,5,70.5,2,25.1,5,240,5,2.64,-1.544,,,,0,,,65.5,48,190,1,3.493,-1.701
1994,1.76,1.155,1.41,1.195,2.83,21.6,18.1,9.96,7.37,7.21,5.135,5.01,1.01,1.017,1.033,1.188,1.341,44.3,38.33,33.3,21.27,17.1,0,0.1409,111,206,7,5,7,3,0.515,-0.3,129,1.76,1.155,1.41,1.195,2.83,6.84,8.53,7.24,7.24,7.05,5.135,4.435,,,,0,14.8,2.5,279,6,4.505,-1.803,44.3,31,206,1,3.527,-1.617,,,,0,,
1995,2.29,1.45,1.47,1.555,2.45,11.8,20,15.9,9.67,6.78,2.84,1.43,0.737,0.7573,0.8061,1.35,1.562,55.5,51.8,48.51,29.72,20.65,0,0.1043,366,178,5,1,7,3,0.64,-0.181,106,2.29,1.45,1.47,1.53,2.45,8.045,,,7.395,6.565,2.84,1.44,0.737,2,366,1,12.85,3,166,6,3.455,-1.903,55.5,86,178,1,6.567,-0.5801,,,,0,,
1996,0.845,0.696,0.697,1.325,3.36,4.405,4.57,9.85,5.565,3.15,1.99,1.31,0.452,0.4743,0.5196,0.7197,0.8292,17,14.77,13.74,10.47,7.227,0,0.1482,48,237,10,7,8,2.5,0.24,-0.162,123,0.8535,1.1,1.016,1.325,3.14,4.29,4.35,7.16,5.47,3.15,1.99,1.31,0.4885,9.5,57,4,11.55,2.5,185,8,4.135,-1.955,,,,0,,,,,,0,,
1997,1.01,0.6935,0.429,0.677,6.27,27.6,17.3,14.9,12,11,7.48,3.09,0.364,0.3833,0.4064,0.4587,0.6909,46.6,42.07,37.16,28.84,21.09,0,0.04333,98,162,2,46.5,10,5.5,0.8,-0.4,118,1.015,1.02,,3.185,5.54,9.11,,9.3,8.285,8.7,7.03,3.09,0.655,3,98,3,14.6,5,239,9,5.617,-1.44,46.6,82,162,1,4.166,-0.5041,,,,0,,
1998,1.52,0.8035,0.77,0.995,1.76,3.23,3.68,2.82,3.49,1.98,1.25,0.774,0.642,0.6523,0.6749,0.7422,0.9415,11.7,9.123,7.889,5.613,4.278,0,0.3053,360,221,9,16,3,1,0.08,-0.07,112,1.52,0.858,0.8265,1.065,1.76,3.08,3.53,2.81,3.49,1.98,1.25,0.838,0.714,6,61,7,10.7,1,185,3,3.73,-2.93,,,,0,,,,,,0,,
1999,0.59,0.528,0.642,0.5535,1.13,9.5,6.47,10.7,16.55,3.84,2.02,1.33,0.479,0.4877,0.5003,0.5309,0.5739,47.8,41.97,29.71,16.77,13.12,0,0.1025,53,173,6,6,7,2,0.114,-0.12,112,0.886,,0.809,0.832,1.32,1.76,5.985,8.17,8.31,3.84,2.02,1.35,0.6095,5.5,72.5,6,12,2,220.5,6,3.77,-1.07,47.8,16,173,1,9.725,-3.01,,,,0,,
2000,0.666,0.897,0.821,0.9835,1.97,20.05,13.3,8.51,10.11,6.02,3.055,1.73,0.536,0.55,0.5863,0.6704,0.8639,81.7,64.63,44.06,28.91,18.66,0,0.08502,27,156,7,8,10,2,0.491,-0.17,126,1.05,0.9965,0.884,1.06,1.97,2.92,7.99,7.915,8.75,6.02,3.055,1.73,0.6785,3,60,10,10.9,2,229,9,1.36,-1.053,,,,0,,,81.7,51,156,1,26.26,-1.474
2001,1.41,0.971,0.861,0.838,1.85,15.5,28.9,11.4,6.66,3.43,2.255,1.11,0.711,0.7177,0.7311,0.8084,1.046,51.6,48.5,40.99,30.52,22.29,0,0.09598,98,161,11,5,5,9,0.31,-0.16,118,1.41,0.983,0.861,1.15,1.405,8.625,,8.86,6.345,3.43,2.255,1.11,0.743,1,98,3,15.7,2,242,3,3.208,-2.047,47.9,41.5,176,2,3.187,-1.66,,,,0,,
