"Description: ","Standardised Precipitation Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spi
1987-10, 0.561213640641436
1987-11, 0.525973663235207
1987-12, 0.483629479782485
1988-01, 0.482137471474995
1988-02, 0.367726809884965
1988-03, 0.365497016380164
1988-04, 0.278770570178972
1988-05, -0.140461159487526
1988-06, -0.116910607349892
1988-07, -0.0878053332138397
1988-08, -0.0639292332731623
1988-09, -0.0990160496462787
1988-10, -0.0034644030864362
1988-11, -0.196786747837554
1988-12, -0.171142544312278
1989-01, -0.174589018835699
1989-02, -0.174215521492215
1989-03, -0.272143074966159
1989-04, -0.337303064919366
1989-05, -0.552619235695923
1989-06, -0.116749604068227
1989-07, -0.260895050791502
1989-08, -0.225088896185678
1989-09, -0.300121232934125
1989-10, -0.47946820833117
1989-11, -0.510588530213403
1989-12, -0.334491432634382
1990-01, -0.416833944377001
1990-02, -0.328126463118166
1990-03, -0.28593194409894
1990-04, -0.149572653857843
1990-05, 0.238860193241828
1990-06, 0.0455688643914891
1990-07, 0.0802584791790399
1990-08, -0.0499678616744444
1990-09, 0.241161615166635
1990-10, 0.173657098419944
1990-11, 0.205474146874339
1990-12, 0.104513618967085
1991-01, 0.0896269454981147
1991-02, 0.101289213924123
1991-03, 0.13404264276769
1991-04, 0.267698587135605
1991-05, 0.852085488301476
1991-06, 0.600484013213721
1991-07, 0.694068758544376
1991-08, 0.668214370172943
1991-09, 0.827015237544012
1991-10, 0.866877632619871
1991-11, 0.904412385635381
1991-12, 0.828256034989887
1992-01, 0.818943268761715
1992-02, 0.776139307929997
1992-03, 0.78056754765383
1992-04, 0.735557791106495
1992-05, 0.793391694835714
1992-06, 1.04959343301263
1992-07, 1.05560376293362
1992-08, 1.01277574494824
1992-09, 0.91826376454622
1992-10, 0.941475077166013
1992-11, 0.951060509970145
1992-12, 0.985058376507917
1993-01, 0.965384740542521
1993-02, 0.967686392979151
1993-03, 0.999270778521331
1993-04, 1.17845512529699
1993-05, 1.17363223749452
1993-06, 1.4527944085184
1993-07, 1.40824311518643
1993-08, 1.34701533853397
1993-09, 1.27248686724736
1993-10, 1.22664852316901
1993-11, 1.2781006540289
1993-12, 1.06556070825425
1994-01, 1.05096697519936
1994-02, 1.0563619578389
1994-03, 0.944461133087176
1994-04, 0.924429931066808
1994-05, 0.779038303096706
1994-06, 0.849370354473514
1994-07, 1.07751844771393
1994-08, 1.08183740066051
1994-09, 1.0603184114407
1994-10, 1.04378502485135
1994-11, 1.13204676867019
1994-12, 1.03868994545541
1995-01, 1.05122295441623
1995-02, 1.05817184761639
1995-03, 0.999403031612379
1995-04, 0.922555422637565
1995-05, 0.535634908699195
1995-06, 0.68289303823523
1995-07, 0.67036858561067
1995-08, 0.984626285745093
1995-09, 1.01375439267112
1995-10, 1.04158343438267
1995-11, 0.943763726197592
1995-12, 0.758862560117889
1996-01, 0.739933412344628
1996-02, 0.790466752107526
1996-03, 0.85688394110005
1996-04, 0.861930357133092
1996-05, 1.00006480505218
1996-06, 0.751651991982241
1996-07, 0.428169115135839
1996-08, 0.665469171948091
1996-09, 0.566148444213541
1996-10, 0.490332476842192
1996-11, 0.429836194372431
1996-12, 0.278457521601552
1997-01, 0.253604424007027
1997-02, 0.302371469590504
1997-03, 0.273656675045045
1997-04, 0.418243801313842
1997-05, 0.651832648549402
1997-06, 0.681584586990801
1997-07, 0.782422951858932
1997-08, 0.635064301774516
1997-09, 0.654579885410133
1997-10, 0.723170301252841
1997-11, 0.857352252601954
1997-12, 0.844912467913795
1998-01, 0.793182484393264
1998-02, 0.779623193353529
