"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spei
1987-10, 0.472215816364625
1987-11, 0.459750730752625
1987-12, 0.449404121989237
1988-01, 0.454868141872739
1988-02, 0.263900687851168
1988-03, 0.267129714912682
1988-04, 0.153627347547912
1988-05, -0.278917695094457
1988-06, -0.233531214115654
1988-07, -0.246499248393508
1988-08, -0.236788500726598
1988-09, -0.30185526515303
1988-10, -0.162895668212532
1988-11, -0.375141249915175
1988-12, -0.327933880145522
1989-01, -0.324397102516435
1989-02, -0.32725952198469
1989-03, -0.397666117308423
1989-04, -0.464089591745265
1989-05, -0.658757663982196
1989-06, -0.208584944295426
1989-07, -0.401543388437181
1989-08, -0.387126644951171
1989-09, -0.499742093468249
1989-10, -0.680203465877569
1989-11, -0.701082471302138
1989-12, -0.485513696234516
1990-01, -0.589244099467284
1990-02, -0.486865938051243
1990-03, -0.447896875570802
1990-04, -0.298281530761791
1990-05, 0.146575657932245
1990-06, -0.0356049064549905
1990-07, -0.0415613965925648
1990-08, -0.21849759751167
1990-09, 0.0746426937215417
1990-10, 0.00713055085431189
1990-11, 0.0632837192992701
1990-12, -0.0479695211095504
1991-01, -0.0442440410715179
1991-02, -0.0425862229158165
1991-03, 0.0110575620747405
1991-04, 0.166272116954212
1991-05, 0.842568419699268
1991-06, 0.582143704798433
1991-07, 0.658830527845424
1991-08, 0.606232012422168
1991-09, 0.800430448023476
1991-10, 0.85775929335166
1991-11, 0.904957736616896
1991-12, 0.838259096574738
1992-01, 0.826669025377764
1992-02, 0.794001409944645
1992-03, 0.817945273159911
1992-04, 0.765293935828918
1992-05, 0.85184619682306
1992-06, 1.11816089924138
1992-07, 1.13204575311458
1992-08, 1.08969022114933
1992-09, 0.979268383465819
1992-10, 1.029743865896
1992-11, 1.02661410121006
1992-12, 1.10343715130817
1993-01, 1.08922236598286
1993-02, 1.09637495337494
1993-03, 1.13306960236158
1993-04, 1.3255797531341
1993-05, 1.3297305686829
1993-06, 1.57042142146011
1993-07, 1.57158302788396
1993-08, 1.53821897680965
1993-09, 1.47124875792812
1993-10, 1.40310374765024
1993-11, 1.47023184359424
1993-12, 1.19245918172957
1994-01, 1.17864030738089
1994-02, 1.18539220751699
1994-03, 1.02927330405128
1994-04, 1.00015339644816
1994-05, 0.853368268465768
1994-06, 0.929664639961305
1994-07, 1.15928183885663
1994-08, 1.1751547405092
1994-09, 1.16128335437204
1994-10, 1.12374439330936
1994-11, 1.23862667470576
1994-12, 1.11947001705897
1995-01, 1.13948252960346
1995-02, 1.1552658615891
1995-03, 1.08202743851909
1995-04, 0.986898979172663
1995-05, 0.566749719144301
1995-06, 0.735561087478133
1995-07, 0.703307732320452
1995-08, 1.06065584025157
