Flow Duration Curve Data Analysis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
251,0.118,60.9,1.39,60.9,1.525,60.9,1.39,73.053,1.436,176,1.39,202,1.436,208,1.39,172,1.39,127,1.436,88.5,1.39,62.8,1.436,59.8,1.39
250,0.123,60.9,1.445,60.9,1.586,60.9,1.445,72.517,1.493,175,1.445,202,1.493,206,1.445,172,1.445,126,1.493,87.8,1.445,62.6,1.493,59.8,1.445
250,0.127,60.9,1.501,60.9,1.647,60.9,1.501,71.98,1.551,174,1.501,198,1.551,203,1.501,171,1.501,125,1.551,87.6,1.501,61.8,1.551,59.8,1.501
244,0.132,60.9,1.556,60.9,1.708,60.9,1.556,71.443,1.608,163,1.556,194,1.608,202,1.556,170,1.556,125,1.608,86.8,1.556,61.5,1.608,59.8,1.556
242,0.137,60.9,1.612,52.12,1.769,60.9,1.612,70.906,1.666,162,1.612,193,1.666,202,1.612,170,1.612,124,1.666,86.8,1.612,61,1.666,59.8,1.612
241,0.142,60.9,1.668,51.583,1.83,60.9,1.668,70.369,1.723,159,1.668,193,1.723,201,1.668,169,1.668,122,1.723,86.1,1.668,60.4,1.723,59.8,1.668
240,0.146,60.9,1.723,51.046,1.891,60.9,1.723,69.833,1.781,158,1.723,193,1.781,201,1.723,169,1.723,119,1.781,85.8,1.723,59.8,1.781,59.8,1.723
239,0.151,40.9,1.779,50.51,1.952,60.9,1.779,67.8,1.838,154,1.779,192,1.838,201,1.779,168,1.779,119,1.838,85.5,1.779,59.8,1.838,59.8,1.779
238,0.156,37.091,1.834,49.973,2.013,60.9,1.834,60.9,1.895,152,1.834,191,1.895,200,1.834,167,1.834,119,1.895,85.4,1.834,59.8,1.895,59.8,1.834
237,0.16,37,1.89,49.436,2.074,60.9,1.89,60.9,1.953,149,1.89,190,1.953,200,1.89,164,1.89,119,1.953,84.3,1.89,59.8,1.953,59.8,1.89
236,0.165,36.7,1.946,48.9,2.135,60.9,1.946,60.9,2.01,147,1.946,189,2.01,199,1.946,163,1.946,119,2.01,84.1,1.946,59.8,2.01,59.8,1.946
235,0.17,36.554,2.001,48.363,2.196,60.9,2.001,60.9,2.068,146,2.001,189,2.068,199,2.001,163,2.001,118,2.068,83.7,2.001,59.8,2.068,59.8,2.001
234,0.175,36.3,2.057,47.826,2.257,60.9,2.057,60.9,2.125,145,2.057,188,2.125,198,2.057,163,2.057,117,2.125,83.6,2.057,59.8,2.125,59.8,2.057
234,0.179,36.3,2.112,47.289,2.318,60.9,2.112,60.9,2.183,144,2.112,187,2.183,198,2.112,162,2.112,116,2.183,82.5,2.112,59.8,2.183,59.8,2.112
232,0.184,36.3,2.168,46.752,2.379,60.9,2.168,60.9,2.24,142,2.168,184,2.24,198,2.168,161,2.168,116,2.24,81.5,2.168,59.8,2.24,57.7,2.168
232,0.189,36.3,2.223,46.216,2.441,60.9,2.223,60.9,2.298,140,2.223,184,2.298,197,2.223,161,2.223,116,2.298,81.3,2.223,59.8,2.298,55,2.223
231,0.194,36.3,2.279,45.679,2.502,60.9,2.279,60.9,2.355,140,2.279,184,2.355,196,2.279,160,2.279,114,2.355,80.9,2.279,59.8,2.355,54.7,2.279
229,0.198,36.3,2.335,45.142,2.563,60.9,2.335,60.9,2.412,138,2.335,183,2.412,195,2.335,159,2.335,113,2.412,80.8,2.335,59.8,2.412,54,2.335
229,0.203,36.3,2.39,44.605,2.624,60.9,2.39,60.9,2.47,138,2.39,183,2.47,195,2.39,156,2.39,113,2.47,79.9,2.39,59.8,2.47,53.7,2.39
229,0.208,36.3,2.446,44.069,2.685,60.9,2.446,60.9,2.527,135,2.446,182,2.527,195,2.446,156,2.446,112,2.527,79.7,2.446,59.8,2.527,53.1,2.446
229,0.212,36.3,2.501,43.532,2.746,60.9,2.501,60.9,2.585,130,2.501,179,2.585,194,2.501,156,2.501,112,2.585,79.6,2.501,59.8,2.585,52.6,2.501
228,0.217,36.3,2.557,42.995,2.807,60.9,2.557,60.9,2.642,130,2.557,178,2.642,193,2.557,154,2.557,111,2.642,79.5,2.557,59.8,2.642,52.1,2.557
226,0.222,36.3,2.613,42.458,2.868,60.9,2.613,60.9,2.7,128,2.613,178,2.7,193,2.613,152,2.613,110,2.7,79.5,2.613,59.8,2.7,51.1,2.613
225,0.227,36.3,2.668,41.922,2.929,60.708,2.668,60.9,2.757,125,2.668,177,2.757,189,2.668,152,2.668,108,2.757,79.4,2.668,59.8,2.757,50.3,2.668
224,0.231,36.3,2.724,41.385,2.99,60.171,2.724,60.9,2.814,124,2.724,175,2.814,189,2.724,152,2.724,108,2.814,78.9,2.724,59.8,2.814,49.6,2.724
224,0.236,36.3,2.779,40.848,3.051,59.635,2.779,60.9,2.872,124,2.779,174,2.872,188,2.779,152,2.779,107,2.872,77.5,2.779,59.8,2.872,48.7,2.779
224,0.241,36.3,2.835,40.312,3.112,59.098,2.835,60.9,2.929,123,2.835,174,2.929,188,2.835,151,2.835,107,2.929,76.6,2.835,59.8,2.929,48.5,2.835
223,0.245,36.3,2.89,39.775,3.173,58.561,2.89,60.9,2.987,123,2.89,173,2.987,186,2.89,148,2.89,107,2.987,76.5,2.89,59.8,2.987,47.8,2.89
222,0.25,36.3,2.946,39.238,3.234,58.024,2.946,60.9,3.044,122,2.946,173,3.044,186,2.946,148,2.946,106,3.044,76.4,2.946,59.8,3.044,47.7,2.946
222,0.255,36.3,3.002,38.701,3.295,57.487,3.002,60.9,3.102,119,3.002,172,3.102,183,3.002,148,3.002,106,3.102,76,3.002,59.8,3.102,47.5,3.002
221,0.26,36.3,3.057,38.164,3.356,56.951,3.057,60.9,3.159,117,3.057,172,3.159,183,3.057,147,3.057,104,3.159,76,3.057,59.8,3.159,47.4,3.057
221,0.264,36.3,3.113,37.628,3.417,56.414,3.113,60.9,3.217,117,3.113,169,3.217,183,3.113,146,3.113,104,3.217,75.6,3.113,59.8,3.217,47.3,3.113
221,0.269,36.3,3.168,36.3,3.478,55.877,3.168,60.9,3.274,117,3.168,166,3.274,182,3.168,144,3.168,104,3.274,75.5,3.168,59.8,3.274,46.8,3.168
221,0.274,36.3,3.224,36.3,3.539,55.34,3.224,60.9,3.331,116,3.224,166,3.331,179,3.224,143,3.224,104,3.331,75.4,3.224,59.8,3.331,46.5,3.224
219,0.278,36.3,3.28,36.3,3.6,54.804,3.28,60.9,3.389,115,3.28,165,3.389,179,3.28,143,3.28,103,3.389,75.3,3.28,59.8,3.389,46.3,3.28
218,0.283,36.3,3.335,36.3,3.661,54.267,3.335,60.9,3.446,112,3.335,165,3.446,178,3.335,141,3.335,103,3.446,75,3.335,59.8,3.446,46.1,3.335
217,0.288,36.3,3.391,36.3,3.722,53.73,3.391,60.9,3.504,112,3.391,165,3.504,178,3.391,141,3.391,102,3.504,74.8,3.391,59.7,3.504,46.1,3.391
216,0.293,36.3,3.446,36.3,3.783,53.194,3.446,60.9,3.561,111,3.446,164,3.561,178,3.446,141,3.446,101,3.561,74.5,3.446,59.2,3.561,45.2,3.446
215,0.297,36.3,3.502,36.3,3.844,49.3,3.502,59.3,3.619,110,3.502,164,3.619,178,3.502,140,3.502,101,3.619,74.4,3.502,57.8,3.619,45.1,3.502
214,0.302,36.3,3.558,36.3,3.905,40.85,3.558,57.2,3.676,109,3.558,164,3.676,178,3.558,140,3.558,101,3.676,74.1,3.558,57.8,3.676,43.6,3.558
213,0.307,36.3,3.613,36.3,3.966,36.3,3.613,56.7,3.733,108.5,3.613,164,3.733,178,3.613,138,3.613,100,3.733,74,3.613,57.6,3.733,42.9,3.613
213,0.312,36.3,3.669,36.3,4.027,36.3,3.669,47.4,3.791,108,3.669,164,3.791,177,3.669,138,3.669,99.3,3.791,73.7,3.669,57.3,3.791,42.1,3.669
212,0.316,36.3,3.724,36.3,4.088,36.3,3.724,47.1,3.848,108,3.724,164,3.848,177,3.724,137.463,3.724,99.2,3.848,73.6,3.724,57.2,3.848,41.8,3.724
212,0.321,36.018,3.78,36.3,4.149,36.3,3.78,44.5,3.906,108,3.78,163,3.906,177,3.78,137,3.78,98.8,3.906,72.6,3.78,56.8,3.906,40.6,3.78
212,0.326,35.481,3.835,36.3,4.21,36.3,3.835,38.8,3.963,107,3.835,163,3.963,176,3.835,137,3.835,98.8,3.963,72.5,3.835,56.5,3.963,40.2,3.835
211,0.33,35.1,3.891,36.3,4.271,36.3,3.891,36.9,4.021,107,3.891,163,4.021,176,3.891,137,3.891,98.585,4.021,72.4,3.891,56.1,4.021,40,3.891
209,0.335,34.944,3.947,36.3,4.332,36.3,3.947,36.7,4.078,106,3.947,162,4.078,176,3.947,136.926,3.947,97.9,4.078,72.4,3.947,55.6,4.078,39.3,3.947
209,0.34,34.407,4.002,36.3,4.393,36.3,4.002,36.5,4.136,104,4.002,162,4.136,175,4.002,136.39,4.002,97.9,4.136,72.3,4.002,55.3,4.136,39.3,4.002
208,0.345,33.87,4.058,36.3,4.454,36.3,4.058,36.3,4.193,104,4.058,162,4.193,175,4.058,136,4.058,96.8,4.193,72.2,4.058,54.8,4.193,39.2,4.058
208,0.349,33.334,4.113,36.3,4.515,36.3,4.113,36.3,4.25,103,4.113,161,4.25,175,4.113,135.853,4.113,96.8,4.25,71.7,4.113,54.5,4.25,39.1,4.113
208,0.354,32.797,4.169,36.3,4.576,36.3,4.169,36.3,4.308,103,4.169,160,4.308,174,4.169,135.316,4.169,96.169,4.308,70.8,4.169,54.5,4.308,38.9,4.169
207,0.359,32.26,4.225,36.3,4.637,36.3,4.225,36.3,4.365,103,4.225,160,4.365,173,4.225,135,4.225,96,4.365,70.7,4.225,53.9,4.365,38.8,4.225
206,0.363,31.723,4.28,36.3,4.698,36.3,4.28,36.3,4.423,102.038,4.28,160,4.423,173,4.28,133,4.28,95.9,4.423,70,4.28,53.9,4.423,38.1,4.28
206,0.368,31.187,4.336,36.3,4.759,36.3,4.336,36.3,4.48,101.501,4.336,160,4.48,172,4.336,133,4.336,95.3,4.48,69.9,4.336,53.8,4.48,37.9,4.336
206,0.373,30.65,4.391,36.3,4.82,36.3,4.391,36.3,4.538,101,4.391,160,4.538,171,4.391,133,4.391,95.2,4.538,69.7,4.391,53.3,4.538,37.7,4.391
205,0.378,30.6,4.447,36.3,4.881,36.3,4.447,36.3,4.595,100.964,4.447,160,4.595,171,4.447,132,4.447,94.4,4.595,69.4,4.447,53.3,4.595,37.4,4.447
203,0.382,30.113,4.503,36.3,4.942,36.3,4.503,36.3,4.652,100.937,4.503,160,4.652,171,4.503,132,4.503,94.4,4.652,68.8,4.503,53.2,4.652,37.4,4.503
202,0.387,29.576,4.558,36.3,5.003,36.3,4.558,36.3,4.71,100.427,4.558,160,4.71,171,4.558,132,4.558,94.1,4.71,68.7,4.558,53,4.71,36.9,4.558
202,0.392,29.04,4.614,36.3,5.064,36.3,4.614,36.3,4.767,99.891,4.614,159,4.767,171,4.614,132,4.614,94,4.767,68.3,4.614,52.9,4.767,36.7,4.614
202,0.397,29,4.669,36.3,5.125,36.3,4.669,36.3,4.825,99.4,4.669,159,4.825,170,4.669,131,4.669,94,4.825,68.1,4.669,52.6,4.825,36.7,4.669
202,0.401,28.503,4.725,18.6,5.186,36.3,4.725,36.3,4.882,99.4,4.725,159,4.882,170,4.725,131,4.725,93.754,4.882,68.1,4.725,52.5,4.882,36.1,4.725
202,0.406,28.4,4.78,18.4,5.247,36.3,4.78,36.3,4.94,99.354,4.78,158,4.94,170,4.78,131,4.78,93.5,4.94,67,4.78,52.4,4.94,36.1,4.78
201,0.411,27.966,4.836,18,5.308,36.3,4.836,36.3,4.997,99.3,4.836,157,4.997,168,4.836,131,4.836,93.5,4.997,66.9,4.836,52.1,4.997,35.9,4.836
201,0.415,27.43,4.892,17.7,5.369,36.3,4.892,36.3,5.055,99,4.892,157,5.055,168,4.892,131,4.892,93.1,5.055,66.8,4.892,52,5.055,35.6,4.892
201,0.42,26.893,4.947,17.7,5.43,36.3,4.947,36.3,5.112,98.817,4.947,156,5.112,167,4.947,129,4.947,92.8,5.112,66.6,4.947,52,5.112,35.3,4.947
200,0.425,26.6,5.003,17.5,5.491,36.3,5.003,36.3,5.169,98.716,5.003,156,5.169,167,5.003,129,5.003,92.5,5.169,66.4,5.003,51.9,5.169,35.2,5.003
200,0.43,26.356,5.058,16.7,5.552,36.3,5.058,36.3,5.227,98.281,5.058,156,5.227,166,5.058,128,5.058,92.4,5.227,66.4,5.058,51.9,5.227,34.9,5.058
199,0.434,25.819,5.114,16.7,5.613,36.3,5.114,36.3,5.284,97.744,5.114,155,5.284,166,5.114,128,5.114,92.3,5.284,66.2,5.114,51.8,5.284,34.8,5.114
199,0.439,25.7,5.17,16.5,5.674,36.3,5.17,36.3,5.342,97.4,5.17,155,5.342,166,5.17,128,5.17,92.1,5.342,65.5,5.17,51.7,5.342,34.7,5.17
198,0.444,25.5,5.225,15.5,5.735,36.3,5.225,36.3,5.399,97.3,5.225,154,5.399,166,5.225,127,5.225,91.7,5.399,64.8,5.225,51.5,5.399,34.6,5.225
198,0.448,25.3,5.281,15.1,5.796,36.3,5.281,36.3,5.457,97.207,5.281,153,5.457,164,5.281,127,5.281,91.4,5.457,64.2,5.281,51.4,5.457,34.5,5.281
198,0.453,25.283,5.336,14.8,5.857,32.5,5.336,36.3,5.514,97.2,5.336,153,5.514,164,5.336,127,5.336,91.338,5.514,64.2,5.336,51.1,5.514,34.5,5.336
198,0.458,24.746,5.392,14.7,5.918,32.5,5.392,36.3,5.572,96.9,5.392,153,5.572,163,5.392,127,5.392,91.3,5.572,64.2,5.392,51.1,5.572,34.5,5.392
198,0.463,24.6,5.447,14.7,5.979,32.4,5.447,36.3,5.629,96.9,5.447,152,5.629,163,5.447,127,5.447,90.8,5.629,64.2,5.447,51.1,5.629,34.3,5.447
197,0.467,24.209,5.503,14.2,6.04,26,5.503,36.3,5.686,96.67,5.503,152,5.686,162,5.503,127,5.503,90.7,5.686,64,5.503,51,5.686,34.2,5.503
197,0.472,23.672,5.559,14.1,6.101,24.753,5.559,36.3,5.744,96.496,5.559,152,5.744,162,5.559,127,5.559,90.6,5.744,63.8,5.559,51,5.744,33.4,5.559
196,0.477,23.3,5.614,14.1,6.162,23.8,5.614,36.3,5.801,96.2,5.614,151,5.801,162,5.614,126,5.614,90.1,5.801,63.7,5.614,50.6,5.801,33.4,5.614
196,0.481,23.135,5.67,13.8,6.223,22.7,5.67,36.3,5.859,96.133,5.67,151,5.859,161,5.67,126,5.67,89.8,5.859,63.6,5.67,50.6,5.859,33.3,5.67
196,0.486,22.8,5.725,13.8,6.284,21.7,5.725,33.8,5.916,96.1,5.725,150,5.916,161,5.725,126,5.725,89.4,5.916,63.6,5.725,49.9,5.916,33.3,5.725
195,0.491,22.599,5.781,13.5,6.345,20.8,5.781,33.8,5.974,95.7,5.781,150,5.974,160,5.781,125,5.781,89.2,5.974,63.6,5.781,49.7,5.974,33.2,5.781
195,0.496,22.1,5.837,13,6.406,20.3,5.837,33.7,6.031,95.597,5.837,149.78,6.031,159,5.837,125,5.837,89.2,6.031,63.1,5.837,49.4,6.031,33.2,5.837
195,0.5,22.062,5.892,12.9,6.467,19.8,5.892,33.7,6.088,95.5,5.892,149,6.088,159,5.892,125,5.892,89.1,6.088,62.8,5.892,49.3,6.088,33.1,5.892
194,0.505,21.9,5.948,12,6.528,17.4,5.948,33.5,6.146,95.06,5.948,149,6.146,159,5.948,125,5.948,89,6.146,62.7,5.948,49.3,6.146,33.1,5.948
194,0.51,21.6,6.003,11.8,6.589,17.226,6.003,33.4,6.203,94.523,6.003,148,6.203,159,6.003,125,6.003,88.923,6.203,62.5,6.003,49.1,6.203,33.1,6.003
194,0.515,21.525,6.059,11.5,6.65,17.2,6.059,33.1,6.261,94.276,6.059,147.56,6.261,159,6.059,124,6.059,88.7,6.261,62.5,6.059,49,6.261,32.7,6.059
194,0.519,21.2,6.115,11.3,6.711,17.107,6.115,33.1,6.318,94,6.115,147,6.318,159,6.115,124,6.115,88.6,6.318,62.3,6.115,49,6.318,32.1,6.115
194,0.524,21,6.17,11.3,6.772,16.969,6.17,32.8,6.376,93.987,6.17,147,6.376,159,6.17,124,6.17,88.6,6.376,62.1,6.17,48.9,6.376,32,6.17
193,0.529,20.989,6.226,11.2,6.833,16.8,6.226,32.7,6.433,93.45,6.226,146,6.433,158,6.226,123,6.226,88.3,6.433,61.8,6.226,48.7,6.433,31.9,6.226
193,0.533,20.5,6.281,11.2,6.894,16.713,6.281,32.5,6.491,92.913,6.281,145.34,6.491,158,6.281,123,6.281,87.8,6.491,61.7,6.281,48.7,6.491,31.7,6.281
193,0.538,20.5,6.337,11,6.955,16.6,6.337,32.112,6.548,92.376,6.337,145,6.548,158,6.337,122,6.337,87.5,6.548,61.6,6.337,48.7,6.548,31.6,6.337
193,0.543,20.1,6.392,10.9,7.016,16.456,6.392,32,6.605,92.056,6.392,145,6.605,158,6.392,122,6.392,86.9,6.605,61.6,6.392,48.4,6.605,31.4,6.392
193,0.548,20.1,6.448,10.8,7.077,16.2,6.448,31.6,6.663,91.84,6.448,145,6.663,158,6.448,122,6.448,86.6,6.663,61.5,6.448,48.3,6.663,31.3,6.448
192,0.552,19.8,6.504,10.8,7.138,16.1,6.504,31.4,6.72,91.303,6.504,144,6.72,158,6.504,122,6.504,86.508,6.72,61.3,6.504,48.3,6.72,31,6.504
191,0.557,19.8,6.559,10.7,7.2,15.943,6.559,31,6.778,90.766,6.559,144,6.778,158,6.559,122,6.559,86.5,6.778,61.2,6.559,48.1,6.778,31,6.559
190,0.562,19.5,6.615,10.7,7.261,15.8,6.615,31,6.835,90.4,6.615,143.119,6.835,157,6.615,121,6.615,86.4,6.835,61.1,6.615,47.9,6.835,30.9,6.615
190,0.566,19.4,6.67,10.7,7.322,15.687,6.67,30.9,6.893,90.3,6.67,143,6.893,157,6.67,121,6.67,86.3,6.893,61,6.67,47.8,6.893,30.9,6.67
189,0.571,19.3,6.726,10.6,7.383,15.5,6.726,30.6,6.95,90.229,6.726,143,6.95,156,6.726,121,6.726,86.2,6.95,61,6.726,47.7,6.95,30.7,6.726
189,0.576,18.8,6.782,10.5,7.444,15.43,6.782,30.6,7.007,89.836,6.782,143,7.007,156,6.782,120,6.782,86.2,7.007,60.9,6.782,47.6,7.007,30.6,6.782
189,0.581,18.6,6.837,10.3,7.505,15.174,6.837,29.892,7.065,89.692,6.837,143,7.065,156,6.837,120,6.837,86.1,7.065,60.6,6.837,47.6,7.065,30.5,6.837
189,0.585,18.4,6.893,10.3,7.566,15,6.893,29.5,7.122,89.5,6.893,142,7.122,156,6.893,120,6.893,86,7.122,60.4,6.893,47.1,7.122,30.3,6.893
189,0.59,18.3,6.948,10.3,7.627,14.917,6.948,29.4,7.18,89.3,6.948,142,7.18,156,6.948,119,6.948,85.9,7.18,60.1,6.948,47.1,7.18,30.2,6.948
189,0.595,18.2,7.004,10.1,7.688,14.9,7.004,29.2,7.237,89.156,7.004,142,7.237,155,7.004,119,7.004,85.8,7.237,60,7.004,47,7.237,30.1,7.004
188,0.599,18,7.059,10.083,7.749,14.9,7.059,29,7.295,89.1,7.059,141,7.295,155,7.059,119,7.059,85.2,7.295,60,7.059,46.9,7.295,30.1,7.059
188,0.604,18,7.115,9.995,7.81,14.9,7.115,28.5,7.352,88.619,7.115,141,7.352,155,7.115,119,7.115,85,7.352,59.8,7.115,46.8,7.352,29.8,7.115
188,0.609,17.8,7.171,9.91,7.871,14.8,7.171,28.4,7.41,88.1,7.171,141,7.41,155,7.171,119,7.171,85,7.41,59.8,7.171,46.6,7.41,29.6,7.171
187,0.614,17.8,7.226,9.906,7.932,14.7,7.226,28.1,7.467,88.082,7.226,140.899,7.467,155,7.226,119,7.226,85,7.467,59.8,7.226,46.6,7.467,29.4,7.226
187,0.618,17.7,7.282,9.818,7.993,14.661,7.282,27.672,7.524,87.9,7.282,140,7.524,155,7.282,118,7.282,84.6,7.524,59.8,7.282,46.4,7.524,29.1,7.282
186,0.623,17.7,7.337,9.73,8.054,14.5,7.337,26.9,7.582,87.616,7.337,139,7.582,154,7.337,118,7.337,84.4,7.582,59.8,7.337,46.3,7.582,29,7.337
186,0.628,17.7,7.393,9.73,8.115,14.404,7.393,26.8,7.639,87.6,7.393,139,7.639,154,7.393,117,7.393,84.092,7.639,59.8,7.393,46.1,7.639,29,7.393
186,0.633,17.6,7.449,9.68,8.176,14.2,7.449,26.8,7.697,87.546,7.449,139,7.697,154,7.449,117,7.449,84,7.697,59.8,7.449,45.9,7.697,29,7.449
185,0.637,17.6,7.504,9.641,8.237,14.148,7.504,26.5,7.754,87.009,7.504,139,7.754,154,7.504,117,7.504,84,7.754,59.8,7.504,45.9,7.754,28.7,7.504
184,0.642,17.6,7.56,9.59,8.298,13.891,7.56,26.4,7.812,86.8,7.56,139,7.812,153,7.56,117,7.56,83,7.812,59.8,7.56,45.9,7.812,28.7,7.56
184,0.647,17.6,7.615,9.56,8.359,13.634,7.615,26,7.869,86.6,7.615,139,7.869,153,7.615,116,7.615,82.9,7.869,59.8,7.615,45.8,7.869,28.5,7.615
184,0.651,17.6,7.671,9.553,8.42,13.6,7.671,26,7.926,86.472,7.671,138.679,7.926,152,7.671,116,7.671,82.8,7.926,59.8,7.671,45.2,7.926,28.5,7.671
183,0.656,17.5,7.727,9.51,8.481,13.6,7.727,25.5,7.984,85.935,7.727,138,7.984,152,7.727,116,7.727,82.5,7.984,59.8,7.727,45,7.984,28.4,7.727
183,0.661,17.4,7.782,9.466,8.542,13.378,7.782,25.5,8.041,85.8,7.782,138,8.041,152,7.782,116,7.782,82.4,8.041,59.8,7.782,44.7,8.041,28.2,7.782
