Year,January,February,March,April,May,June,July,August,September,October,November,December,1-day min,3-day min,7-day min,30-day min,90-day min,1-day max,3-day max,7-day max,30-day max,90-day max,Zero days,Base flow,Date min,Date max,Lo pulse #,Lo pulse L,Hi pulse #,Hi pulse L,Rise rate,Fall rate,Reversals,Jan lowf,Feb lowf,Mar  lowf,Apr  lowf,May lowf,June lowf,July lowf,Aug lowf,Sept lowf,Oct lowf,Nov lowf,Dec lowf,Xlow1 peak,Xlow1 dur,Xlow1 time,Xlow1 freq,High1 peak,High1 dur,High1 time,High1 freq,High1 rise,High1 fall,Sfld1 peak,Sfld1 dur,Sfld1 time,Sfld1 freq,Sfld1 rise,Sfld1 fall,Lfld1 peak,Lfld1 dur,Lfld1 time,Lfld1 freq,Lfld1 rise,Lfld1 fall
1999,1.63,1.035,1.67,1.685,5.01,34.85,43.1,57.5,87.8,23,11.1,4.81,0.857,0.8867,0.9257,1.086,1.42,184,162,125.9,87.71,68.6,0,0.03717,53,173,6,5.5,6,10.5,0.585,-0.51,98,3.1,,,,5.2,6.81,37,38.55,45.9,23,11.1,4.81,2.35,4,89,4,65.4,3,218,5,15.2,-4.653,184,20,173,1,37.93,-8.094,,,,0,,
2000,2.44,3.11,2.76,3.2,6.42,99.25,76.7,47.5,61.4,32.6,15.7,7.75,1.67,1.717,1.866,2.405,2.998,257,229.7,206.9,141.8,91.66,0,0.05437,27,156,5,13,6,5,1.85,-0.7,102,2.92,3.83,3.03,3.535,6.42,11.1,44.35,44.1,38.9,30.9,15.7,7.75,2.47,6,55,9,63.8,4,230,5,4.8,-5.567,257,56,156,1,81.97,-3.902,,,,0,,
2001,5.49,3.34,2.75,2.53,4.56,83.85,137,59.3,33.75,17.1,9.995,4.73,2.11,2.153,2.166,2.415,3.264,241,227.7,185.3,139.2,105.2,0,0.06136,96,160,6,30,4,6,1.745,-0.5,106,5.49,4.15,3.78,4.16,4.135,,,44.6,31.1,17.1,9.995,4.73,2.295,25,81,2,56.6,2,242,3,13.4,-7.243,241,87,160,1,13.9,-2.609,,,,0,,
2002,2.38,1.418,3.958,7.983,15.3,54.45,31.4,59.3,57.65,85.8,52.3,23.9,1.01,1.037,1.112,1.44,2.695,357,299.3,232.4,116.9,80.48,0,0.02881,56,287,0,,8,17,0.24,-1.985,81,3.26,,4.547,7.983,9.65,38.5,25.7,48.2,45.8,,43.45,23.9,1.01,55,56,1,82.7,14,231,7,8.9,-3.1,,,,0,,,357,36,287,1,22.35,-13.45
2003,9.89,5.19,3.84,3.33,67.63,126.5,105.2,58.2,42,33.17,24.33,15.5,2.98,3.023,3.144,3.61,5.043,152,149.8,145.3,129.7,103.8,0,0.07452,104,175,1,67,1,109,2.22,-0.2897,38,9.89,5.19,3.84,3.33,40.99,,,47.36,42,33.17,24.33,15.5,,,,0,152,109,175,1,2.22,-1.647,,,,0,,,,,,0,,
2004,5.93,3.55,3.24,10.55,7.78,37.3,105,43.6,50,30.3,33.3,12.7,2.5,2.553,2.671,3.309,4.307,341,261,205.1,132.9,80.26,0,0.08343,88,184,2,38,7,4,1.8,-0.9,92,5.93,3.565,3.44,10.55,7.78,13.95,,36.6,40.1,29.8,32.45,12.7,2.68,4.5,71,2,62.3,3,246,6,11.9,-6.967,,,,0,,,341,49,184,1,22.73,-7.914
2005,5.54,3.225,3.59,3.545,28.4,118,75.6,69.2,55.95,20.5,12.7,25.5,2.37,2.39,2.459,2.888,3.709,260,227,171.7,132.3,101.6,0,0.05935,61,150,6,12,5,6,4.15,-0.91,100,5.54,3.58,3.87,3.57,17.5,,46.1,,38.75,20.5,11.55,24.85,2.62,4,74,3,71.2,4.5,291,4,7.4,-8.475,260,64,150,1,30.9,-3.659,,,,0,,
2006,13.5,5.335,5.04,10.38,13,111.5,115,77.3,44.75,30.2,18.5,10.9,3.64,3.71,3.791,4.72,6.214,240,224.7,180.1,131.2,112,0,0.08956,101,194,6,7,7,2,4,-1.05,102,13.5,5.335,5.04,7.06,12.85,44.2,,,40.85,30.2,18.5,10.9,,,,0,56.3,2,202,6,19.9,-8.664,240,90,194,1,5.064,-3.765,,,,0,,
2007,5.58,3.7,2.85,5.24,7.46,26.45,74.1,59.3,36.85,22.5,14.45,7.47,2.02,2.053,2.1,2.571,3.708,135,126.3,113,82.65,62.93,0,0.08896,99,206,5,10,4,5,1.9,-0.53,93,5.58,3.7,3.29,6.15,7.46,22.45,43.5,44.25,36.5,22.5,14.45,7.47,2.83,2,67,3,83.9,5,197,4,21.93,-7.883,,,,0,,,,,,0,,
2008,4.06,1.69,1.77,2.42,3.41,39.3,90.3,84.6,62.85,18.3,8.81,4.2,1.34,1.363,1.396,1.67,2.081,390,373,278.6,138.3,98.55,0,0.04191,59,245,4,68,6,3.5,1.7,-0.4,88,4.42,,3.42,3.765,24.3,31.9,32.6,,38.3,18.3,8.81,4.2,2.11,12,117,5,51.1,2,157,5,14.2,-13.4,,,,0,,,390,77,245,1,6.058,-18
