tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
19.47, 20.2, 24.35, 29.6, 31.63, 6.085, 6.83666666666667, 9.45, 11.9, 12.615, 13.335, 13.9, 16.725, 20.245, 21.4575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 29.1, 19.8633333333333
19.685, 20.3, 24.4, 29.5633333333333, 30.79, 5.84, 6.53666666666667, 9.45, 11.9, 12.7, 13.25, 13.9, 16.85, 19.95, 21.025, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 29.0633333333333, 19.7816666666667
19.985, 20.3, 24.35, 29.6, 30.275, 5.84, 6.5, 9.5, 11.8633333333333, 12.445, 13.3925, 14.1366666666667, 16.9, 19.95, 20.865, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12, 29.2266666666667, 19.8816666666667
20, 20.7, 24.5, 29.6, 30.53, 6.085, 6.5, 9.5, 11.9633333333333, 12.53, 13.82, 14.45, 16.875, 19.95, 20.98, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.0633333333333, 29.3633333333333, 19.9
20.285, 20.9733333333333, 24.6, 29.7633333333333, 31.33, 5.985, 6.5, 9.4, 12.0633333333333, 12.745, 13.87, 14.45, 17.025, 19.95, 21.18, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.1, 29.3, 19.95
20.385, 21.2, 24.6, 29.6266666666667, 31.33, 5.9, 6.5, 9.4, 12.1, 12.745, 14.0425, 14.6733333333333, 17.075, 20.0316666666667, 21.18, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.1, 29.2266666666667, 19.9816666666667
20.385, 21.2, 24.6, 29.5, 31.76, 6.185, 6.5, 9.4, 12.3633333333333, 13.145, 14.2, 14.7366666666667, 17.125, 20.0316666666667, 21.365, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.1, 29.0633333333333, 19.95
20.485, 21.2, 24.6, 29.5, 32.175, 6, 6.5, 9.3, 12.5, 13.4, 14.085, 14.5683333333333, 16.95, 20.395, 21.465, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.1633333333333, 29.0633333333333, 19.9316666666667
20.585, 21.2366666666667, 24.75, 29.4266666666667, 32.175, 6, 6.5, 9.1, 12.5633333333333, 13.1, 13.985, 14.3866666666667, 17.075, 20.395, 21.665, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 29, 19.9316666666667
20.47, 21.3366666666667, 24.95, 29, 30.42, 6, 6.63666666666667, 9.3, 12.5633333333333, 13.145, 14.085, 14.6183333333333, 17.15, 20.1266666666667, 21.155, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 29, 19.95
20.285, 21.2733333333333, 24.8, 28.9, 30.3, 6, 6.83666666666667, 9.5, 12.4, 13.13, 13.8925, 14.5183333333333, 17.275, 19.8816666666667, 20.7225, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.3, 29.0633333333333, 20
19.97, 21.1366666666667, 24.7, 28.8266666666667, 30.03, 6, 6.63666666666667, 9.5, 12.0266666666667, 12.915, 13.7, 14.1683333333333, 17.175, 19.8816666666667, 20.6575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 29, 20
19.785, 20.7, 24.8, 28.5, 29.615, 6.185, 6.7, 9.5, 12.1, 12.63, 13.685, 14.1183333333333, 17.375, 19.6316666666667, 20.5075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.9, 19.9633333333333
19.74, 20.6366666666667, 24.6, 28.3633333333333, 29.645, 6.085, 6.57333333333333, 9.5, 12.2, 13.315, 13.585, 14.155, 17.2, 19.7133333333333, 20.5, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.7633333333333, 19.85
20, 20.6366666666667, 24.35, 28.5633333333333, 30.015, 6, 6.5, 9.4, 12.2633333333333, 13.3, 13.4925, 14.1183333333333, 17.125, 19.8816666666667, 20.765, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.4, 28.5, 19.8316666666667
20.085, 20.7, 24.6, 29.19, 30.63, 6.085, 6.5, 9.2, 12.5, 13.445, 13.5, 14.205, 17.075, 20.2083333333333, 21.6075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.3, 28.5, 19.75
20.185, 20.7, 24.6, 29.3633333333333, 30.63, 6, 6.61, 9.2, 12.7, 13.445, 13.7275, 14.4866666666667, 17.175, 20.2633333333333, 21.6075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.2, 28.4, 19.7
20.1, 20.7, 24.4, 28.9266666666667, 30.175, 5.8, 6.37333333333333, 9.2, 12.7, 13.76, 13.5425, 14.45, 17.125, 20.145, 21.6725, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12.1633333333333, 28.3, 19.6
20.185, 20.7, 24.4, 28.3633333333333, 29.9, 5.8, 6.23666666666667, 8.9, 12.6633333333333, 13.43, 13.42, 13.95, 16.85, 19.75, 21.515, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12, 28.2, 19.5316666666667
20.1, 20.7, 24.25, 28.1, 29.315, 5.8, 6.63666666666667, 9.15, 12.3633333333333, 13.2, 13.5925, 14.0183333333333, 16.75, 19.4266666666667, 20.765, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.9, 28.1, 19.35
19.7, 20.6366666666667, 23.85, 27.8633333333333, 28.415, 5.785, 6.3, 9.3, 11.8633333333333, 13.015, 13.535, 14.0183333333333, 16.7, 19.1316666666667, 19.865, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 12, 28.1, 19.3316666666667
19.57, 20.5366666666667, 23.75, 27.5, 28.4, 5.6, 6.1, 9.25, 11.1, 12.215, 13.25, 13.8366666666667, 16.475, 19.0633333333333, 19.765, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.9633333333333, 28.1, 19.3
19.3, 20.2, 23.7, 27.8266666666667, 28.415, 5.6, 6, 9.1, 11.4, 12.2, 13.25, 13.7683333333333, 16.325, 18.85, 19.765, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.8, 28, 19.3
19.07, 19.7366666666667, 23.55, 27.4266666666667, 28.415, 5.555, 5.9, 8.9, 11.4, 12.115, 13.1, 13.5683333333333, 16.125, 18.85, 19.765, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.6, 27.9, 19.1
19.3, 19.7, 23.45, 27.2633333333333, 28.315, 5.285, 5.83666666666667, 8.7, 11.4, 12.015, 12.9425, 13.55, 16, 18.745, 19.33, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.5, 27.6633333333333, 18.85
19.385, 19.9366666666667, 23.55, 27.2633333333333, 28.5, 5.3, 5.9, 8.6, 11.3266666666667, 12.115, 12.9925, 13.4866666666667, 16, 18.5816666666667, 19.3375, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.4, 27.4, 18.7316666666667
19.5, 20.1, 23.5, 27.7633333333333, 28.515, 5.2, 5.7, 8.6, 11.4, 12.215, 12.9425, 13.55, 16.025, 18.6, 19.625, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.1633333333333, 27.4, 18.6316666666667
19.685, 20.2, 23.3, 27.3633333333333, 28.5, 5, 5.63666666666667, 8.6, 10.9633333333333, 12.015, 12.9425, 13.4866666666667, 15.9, 18.5816666666667, 19.415, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.1633333333333, 27.4, 18.6316666666667
19.685, 20.2, 23.25, 27.2, 28.6, 5, 5.6, 8.5, 10.7633333333333, 12.015, 12.8, 13.45, 15.85, 18.5816666666667, 19.415, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.4, 27.3, 18.65
18.685, 20.0366666666667, 23.15, 27.1, 28.6, 4.985, 5.53666666666667, 8.5, 10.9, 11.83, 12.785, 13.25, 15.725, 18.55, 19.4, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.4, 27.1633333333333, 18.6
18.685, 19.5366666666667, 22.75, 26.9633333333333, 27.86, 4.9, 5.43666666666667, 8.5, 10.9, 11.8, 12.5425, 13.2, 15.625, 18.55, 19.165, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.1, 27.1, 18.5
18.3, 19, 22.7, 26.8, 28.03, 4.9, 5.4, 8.5, 11, 11.715, 12.5, 12.9866666666667, 15.6, 18.4, 19.165, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.1, 27.1, 18.45
18.3, 18.8, 23, 27.2266666666667, 28.63, 4.97, 5.4, 8.4, 11.2266666666667, 12.115, 12, 12.8, 15.65, 18.55, 19.2875, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.0633333333333, 26.9633333333333, 18.4
18.3, 18.9366666666667, 23, 27.3633333333333, 28.245, 4.8, 5.43666666666667, 8.5, 11.6266666666667, 12.215, 12, 13.0233333333333, 15.8, 18.6316666666667, 19.25, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11, 26.9, 18.4
18.3, 18.9366666666667, 23, 27.2633333333333, 28.23, 4.8, 5.43666666666667, 8.5, 11.7633333333333, 12.2, 12.49, 13.2, 15.8, 18.5316666666667, 19.25, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.1, 26.8, 18.35
18.3, 18.7366666666667, 22.85, 27.09, 28.145, 4.97, 5.43666666666667, 8.35, 11.4, 12.1, 12.1425, 13.0183333333333, 15.725, 18.3816666666667, 19.015, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.1, 26.5, 18.2
18.17, 18.7733333333333, 22.45, 26.9, 27.9, 4.885, 5.43666666666667, 8.3, 11.1, 12.1, 12.085, 12.85, 15.5, 18.3316666666667, 18.6575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.0633333333333, 26.2266666666667, 18.1
18.085, 18.6366666666667, 22.1, 25.9, 27.215, 4.9, 5.4, 8.3, 11.0633333333333, 11.815, 12.2775, 12.85, 15.125, 18.0633333333333, 18.5575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.0633333333333, 26.1, 18.05
18, 18.5, 22, 25.3266666666667, 26.93, 4.9, 5.4, 8.2, 10.9266666666667, 11.53, 12.0625, 12.8183333333333, 15, 17.5, 18.115, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 11.1, 25.9633333333333, 17.9816666666667
17.9, 18.4366666666667, 21.9, 24.8633333333333, 26.59, 4.885, 5.4, 8.2, 10.9633333333333, 11.53, 11.835, 12.6866666666667, 14.925, 17.4, 18, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.9633333333333, 25.8633333333333, 17.9316666666667
17.885, 18.5, 21.8, 24.8, 26.4, 4.885, 5.2, 8, 11.0266666666667, 11.715, 11.75, 12.4366666666667, 14.825, 17.3816666666667, 17.865, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.9, 25.6633333333333, 17.65
17.8, 18.4366666666667, 21.7, 24.9, 26.4, 4.7, 5.1, 8, 10.9, 11.815, 11.685, 12.3, 14.85, 17.3816666666667, 17.9575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.8, 25.4633333333333, 17.5316666666667
17.685, 18.3, 21.7, 24.7, 26.06, 4.685, 5.13666666666667, 7.75, 10.8633333333333, 11.815, 11.4425, 12.15, 14.9, 17.2133333333333, 17.865, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.8, 25.2, 17.4633333333333
17.67, 18.3, 21.45, 24.8266666666667, 25.93, 4.385, 5.1, 7.6, 10.6266666666667, 11.63, 11.32, 12.1183333333333, 14.775, 16.9816666666667, 17.865, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.7, 25.1, 17.3316666666667
17.485, 18.1733333333333, 21.3, 24.9533333333333, 26.1, 4.255, 5.1, 7.5, 10.39, 10.93, 11.1425, 12.1683333333333, 14.675, 16.8316666666667, 17.85, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.6, 24.8, 17.15
17.385, 18, 21.1, 25.1, 26.13, 3.9, 5.1, 7.6, 10.4266666666667, 11.43, 11.0925, 12.15, 14.6, 16.8816666666667, 17.85, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.6, 24.8, 17.05
17.17, 17.9, 21.1, 24.8533333333333, 26.1, 3.985, 5.03666666666667, 7.6, 10.2, 10.975, 11.0925, 11.9683333333333, 14.4, 16.7316666666667, 17.68, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.5, 24.8, 17
16.97, 17.6, 20.6, 25.1633333333333, 26.1, 3.97, 4.93666666666667, 7.65, 10.3633333333333, 11.43, 11.0925, 11.8183333333333, 14.225, 16.6816666666667, 17.65, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.5, 24.5, 16.9
16.57, 17.3, 20.6, 25.1266666666667, 26.315, 3.8, 4.53666666666667, 7.65, 10.6633333333333, 11.6, 10.955, 11.6, 14.15, 17.05, 17.9225, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.3, 24.5633333333333, 16.8
16.6, 17.3, 20.55, 24.8, 26.445, 3.685, 4.4, 7.6, 10.6, 11.43, 10.6925, 11.4683333333333, 14.15, 17.05, 17.9225, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.2, 24.3633333333333, 16.65
16.6, 17.3, 20.3, 24.6633333333333, 26.145, 3.4, 4.13666666666667, 7.55, 10.4, 11.315, 10.6275, 11.3183333333333, 13.95, 16.6316666666667, 17.645, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.2633333333333, 24.3, 16.6
16.6, 17.4, 20, 24.2266666666667, 26.015, 3.4, 4, 7.35, 10.3, 11.13, 10.6275, 11.1866666666667, 13.85, 16.6, 17.415, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.2, 24.3, 16.45
16.6, 17.3, 19.9, 23.4633333333333, 25.43, 3.4, 3.93666666666667, 7.3, 10.1, 10.715, 10.4425, 11.1, 13.75, 16.4133333333333, 17.315, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.2, 24.0633333333333, 16.4316666666667
16.87, 17.4, 20.2, 24.1, 25.4, 3.4, 3.9, 7.2, 9.86333333333333, 10.3, 10.6, 11.1866666666667, 13.85, 16.2083333333333, 16.95, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.2, 23.7, 16.3316666666667
16.685, 17.4, 19.9, 23.7533333333333, 25.4, 3.4, 4.1, 7.3, 9.8, 10.3, 10.8, 11.25, 13.85, 16.05, 16.7575, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.1633333333333, 23.6, 16.1816666666667
16.27, 17.2, 19.8, 23.5633333333333, 25.4, 3.685, 4.4, 7.1, 10, 11.015, 10.7425, 11.25, 13.825, 16.0133333333333, 16.75, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 10.1, 23.5, 16.05
16.1, 17.0366666666667, 19.7, 23.5, 25.315, 3.7, 4.4, 7.15, 9.9, 11.115, 10.685, 11.2183333333333, 13.575, 16.05, 16.7075, 1.4, 1.9, 10.4, 42.1, 57.495, 88.1, 9.96333333333333, 23.4, 15.9816666666667
